tweetid	label
1187439656205307904	1
1198382923373662211	0
1199217163271200768	0
1188816356512280576	1
1195495386066169857	0
1199330526332686340	0
1197217550360293377	1
1199551733019660288	1
1187512501803651073	1
1199317631322480640	0
1199343479546998785	0
1199349376713252864	0
1195564931908800512	0
1198990990113169408	1
1193759957801299969	1
1187489602086539264	1
1199276397317017600	0
1195563143700926464	0
1199332152099430400	0
1194643750317936640	1
1188152070442012673	1
1193030024552517632	1
1190459857318666240	1
1201905599711195136	1
1186344310658101248	1
1187470329943248896	1
1197241417896210434	1
1193737123549057024	1
1199347783318286336	0
1199353294537314305	0
1195562679785656321	0
1195583131300106242	0
1202726236637876225	1
1201954458923622400	1
1195568109693919232	0
1202173249444106240	1
1201381351678599168	1
1188827866701676544	1
1195576453422710784	0
1198080688458584064	1
1199560758159273985	1
1193540192549781510	1
1200453005687967744	1
1192710278389157889	1
1200199811368132608	1
1195567454820470785	0
1194501187141156864	0
1199342208228315138	0
1196726715948707840	1
1199357617522593792	0
1186455008738533378	1
1199211904553701379	0
1202000636696379392	1
1199310663669231618	0
1195564113298104320	0
1195580510531141632	0
1192837469701574656	1
1194963978725838848	1
1191016693432246272	1
1199339198295109638	0
1199344789876985856	0
1187117867898232835	1
1199145335580442624	0
1199358000642842624	0
1188268795292508163	1
1197367413001609216	1
1195559955459231745	0
1190720830596009985	1
1195580137015779329	0
1199135669307805702	0
1198022030328836096	1
1195510164608208897	0
1199116471726686208	0
1195557141828034560	0
1199286371720015872	0
1193068716109393921	1
1195351138981339138	0
1196391796093394945	1
1195361896364478464	1
1185953666160836610	1
1185608950122721280	1
1195582512560345088	0
1195577142924308481	0
1201204428390440960	1
1188545576163397632	1
1193857966350442496	1
1191718281339658240	1
1194404299566006274	1
1199089660326268928	0
1195350894906355712	0
1190052382442500097	1
1198424753305993216	1
1188066800862281728	1
1187755262448410625	1
1195421946759933952	0
1194743289888624642	0
1195582539374583808	0
1192752904568016896	1
1199323236703645696	1
1195379670499418112	0
1187800188884267008	1
1195559520409403392	0
1195569291535495169	0
1188521870544506881	1
1192520973452554242	1
1195571722180845569	0
1199352864126177280	0
1193000191424651267	1
1194292414757908483	1
1199142141315833856	1
1199334165742645250	0
1192472979499819008	1
1190301605469442048	1
1195574628900433921	0
1195577388782030849	0
1199348084544655371	0
1199211493704777733	0
1199468643127562240	1
1195530054630985728	0
1201202528987140097	1
1195490460388724741	0
1189574322744111104	1
1195581804444602368	0
1198998112859234306	0
1199290710870102016	0
1195893852982464517	1
1195565641492844545	0
1197594506066976768	1
1195572919478317056	0
1199349029605261317	0
1195541815115550721	0
1199358084658999296	0
1199458825662631936	1
1187614515220738048	1
1199305803842367493	0
1199892920884695040	1
1193373038210883584	1
1199154719081586688	0
1195548681430167552	0
1196819785595658243	1
1199432412725465093	1
1186407379841232898	1
1199339318717767680	0
1196968796747112448	1
1195574430824579072	0
1187785497273192448	1
1199339686218489858	0
1194924361079250946	1
1191770835528404993	1
1195561710939254784	0
1195576961810100224	0
1197781615394471936	1
1193591892891623426	1
1191825109188661248	1
1197326802370338816	1
1199166353002958848	0
1200212635519799296	1
1195555808387502081	0
1195578772088602624	0
1200868701689597953	1
1187731234866237441	1
1188209039655800832	1
1188121281591468032	1
1200873233580347392	1
1199341725522612225	0
1195557926678646784	0
1202546432391168000	1
1201189667674177536	1
1199353891357364224	0
1189664535965306886	1
1198712752841412609	1
1195095607901401088	0
1200424473339535361	1
1195553227661557760	0
1195517525280337922	0
1195511015519199236	0
1199353398874779648	0
1199348498229088256	0
1199352044890578944	0
1199343113447206915	0
1194137690762928128	1
1188533672502321153	1
1199157061788979201	0
1198977319643340800	0
1195658846431260672	1
1199355005528092672	0
1195571707928465408	0
1192957614444961793	1
1199225395662512128	0
1199352418934427648	0
1199175773430722560	0
1198323584734814209	1
1201256260886302726	1
1195481408090755072	0
1190718247064215558	1
1195579319747301376	0
1194423138374828037	1
1188150179402268673	1
1199110307043512321	0
1202284390312824832	1
1195561509318868993	0
1189618675088801792	1
1185575705008132101	1
1188790915353268225	1
1196118678791700480	1
1195578203542315008	0
1199354700006604801	0
1195200803956576258	1
1199298808821223424	0
1201602861068685313	1
