tweetid	label
1195572885378568195	0
1201680415976808449	1
1192002981719396353	1
1197538210131271680	1
1197874722400325633	0
1194769563579117570	0
1195562251828236289	0
1172956597284421633	1
1195525480092299264	0
1192233294450049024	1
1196406443248963584	1
1199317508907524098	0
1192437298815746048	1
1199028866192420864	0
1199240410133983234	0
1186281000034324480	1
1199066515716349952	0
1199309954626326528	0
1199352560177598465	0
1191786497743183872	1
1189990677221756928	1
1200863680889409536	1
1194278591820976128	1
1199337651226075137	0
1195017295590051840	0
1199041062909538310	0
1202660606815260672	1
1195534592016625664	0
1196829808782692352	1
1191522779595726849	1
1189729837360898050	1
1187897129995399168	1
1192469871914835968	1
1195559207103324160	0
1187531723921416193	1
1196989273565777920	1
1187980861536260104	1
1199295116604669953	0
1199357192358354944	0
1195551108195921921	0
1188825304657256455	1
1198330316651454464	0
1199326871453872131	0
1187148452129656832	0
1200493096758390784	1
1195493359940440065	0
1190297870106279936	1
1187591264448983040	1
1202650411422736385	1
1199650979060301824	1
1193953069563666434	1
1199163728182145024	0
1186600272434470912	1
1199348455585435649	0
1187833665637769217	1
1191117080629784576	1
1195419940863516673	0
1199177751523217408	0
1200840231597084672	1
1199106219203584001	0
1201082817632821248	1
1200246607972831234	1
1186796454712492032	1
1198981434813403137	1
1199342370220736513	0
1195555387740770304	0
1199096867583336448	0
1199352628758695936	0
1195229090405421056	0
1192832265522307073	1
1199331552892784641	0
1198965104852832256	0
1200846400482873344	1
1199349126887948289	0
1198744676553113601	1
1189322629393584131	1
1196001397243863040	1
1199338339402473472	0
1195545479062392832	0
1191862064966459392	1
1190439072113811456	1
1199341896809639937	0
1187320339929456641	1
1197188239829938176	1
1186956072654954496	1
1195564765776625666	0
1193271670112436224	1
1195518185614626816	0
1193836495892692994	0
1195145335833792512	0
1195983327569645570	1
1186344397526450176	1
1195552787028824065	0
1199316865106923524	0
1198365366029897728	0
1195562963303690240	0
1199352583002849280	0
1192126275508301824	1
1195558804752084993	0
1190313709303926786	1
1195527834887950336	0
1194597239555076096	1
1199356053046956032	0
1199128063688290304	1
1187463347647574016	1
1189641129458880512	1
1194079005894467584	1
1199194296622206981	0
1198799478825746434	1
1191212719732592642	1
1199010789744623616	0
1199819683630706688	1
1195562682226601984	0
1198995180302544896	0
1199240688350703617	0
1199178093031636992	0
1189948977552248832	1
1190972588618604544	1
1195440036185071616	0
1199348087392788480	0
1186006148153073665	1
1202380982793494528	1
1199340057934647296	0
1199346373750968329	0
1199349670692216833	0
1192826282175799296	1
1199169372885049345	0
1185634019431632896	1
1195549416297357313	0
1199347828482404352	0
1195907393420480512	1
1188309106018275329	1
1187498566761304070	1
1199154719081586688	0
1189676881261543424	1
1195578807781974016	1
1191294001590292480	1
1199352121960865794	0
1199338973619007488	0
1198007664300740610	1
1201577519369064457	1
1199344277723086848	0
1199704128521408512	1
1195551952857419777	0
1195555130361499648	0
1185799322086105089	1
1199357617522593792	0
1196527646525575168	1
1196344504107913216	1
1199342059892592640	0
1195522508708925440	0
1195558128256983040	0
1190657674393903104	1
1195566314686992384	0
1195559058368892928	0
1195358489771749376	0
1199349815328563206	0
1198900876305285121	0
1195575556667887617	0
1195450272090222593	0
1190220780983865345	1
1201313248596807680	1
1196072131286589441	1
1199125907522359296	0
1195546750343233537	0
1196406893150920704	1
1195464629729865729	0
1198957419906424835	0
1199351393384976387	0
1194952738049863685	0
1194195616391475200	1
1200440914650574849	1
1198891477490917378	0
1194001082453757953	0
1067581002774708225	1
1199342847104704515	0
1200601992193667072	1
1199330957037375488	0
1199353423981711360	0
1199352909579853829	0
1195550993561243651	0
1192156573885509632	1
1193612546680541192	1
1194815276841193473	1
1195475315717484544	0
1197891730516959233	1
1199339693298438144	0
1196141606274908160	1
1195580056237568002	0
1195573149804326912	0
1195553040125890561	0
1195560997387419649	0
1199339092233711621	0
1199337278461493248	0
1189338709130383362	1
1195551059277578240	0
1199332799494447111	0
1199176385425747968	1
1196816078569033728	1
1194707658118316032	1
1195562443864494081	0
1195465440006475776	1
1197286099342770176	1
1197665998834479105	1
1185950173375160321	1
1194030366329323521	1
1198402117570043904	1
1194908924723580928	1
1186753295269928971	1
1195554324329447424	0
